"Rowid_","VALUE_","COUNT_","AREA","MIN_","MAX_","RANGE","MEAN","STD","SUM_"
,221,64,64000000.000000,159.839797,159.839797,0.000000,159.839797,0.000000,10229.747070
,222,64,64000000.000000,122.116744,122.116744,0.000000,122.116744,0.000000,7815.471679
,223,58,58000000.000000,46.995700,46.995700,0.000000,46.995700,0.000000,2725.750732
,224,58,58000000.000000,67.666847,67.666847,0.000000,67.666847,0.000000,3924.677246
,225,59,59000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4436.351562
,226,58,58000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4361.159179
,227,57,57000000.000000,15.223978,15.223978,0.000000,15.223978,0.000000,867.766784
,228,59,59000000.000000,19.275373,19.275373,0.000000,19.275373,0.000000,1137.247070
,229,63,63000000.000000,20.900899,20.900899,0.000000,20.900899,0.000000,1316.756713
,230,63,63000000.000000,129.970169,129.970169,0.000000,129.970169,0.000000,8188.120605
,231,62,62000000.000000,170.081848,170.081848,0.000000,170.081848,0.000000,10545.074218
,232,63,63000000.000000,49.308227,49.308227,0.000000,49.308227,0.000000,3106.418457
,233,64,64000000.000000,49.241230,49.241230,0.000000,49.241230,0.000000,3151.438720
,234,64,64000000.000000,73.988861,73.988861,0.000000,73.988861,0.000000,4735.287109
,235,64,64000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4812.313476
,236,65,65000000.000000,72.420639,72.420639,0.000000,72.420639,0.000000,4707.341308
,237,64,64000000.000000,16.700477,16.700477,0.000000,16.700477,0.000000,1068.830566
,238,64,64000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,764.671997
,239,58,58000000.000000,20.900899,20.900899,0.000000,20.900899,0.000000,1212.252197
,240,60,60000000.000000,192.684997,192.684997,0.000000,192.684997,0.000000,11561.099609
,241,59,59000000.000000,192.684997,192.684997,0.000000,192.684997,0.000000,11368.415039
,242,63,63000000.000000,47.876152,47.876152,0.000000,47.876152,0.000000,3016.197509
,243,64,64000000.000000,49.516998,49.516998,0.000000,49.516998,0.000000,3169.087890
,244,63,63000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4737.121093
,245,62,62000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4661.928710
,246,62,62000000.000000,42.259178,42.259178,0.000000,42.259178,0.000000,2620.069091
,247,63,63000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,752.723999
,248,63,63000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,752.723999
,249,59,59000000.000000,20.900899,20.900899,0.000000,20.900899,0.000000,1233.153076
,250,59,59000000.000000,48.770664,48.770664,0.000000,48.770664,0.000000,2877.469238
,251,58,58000000.000000,192.684997,192.684997,0.000000,192.684997,0.000000,11175.729492
,252,59,59000000.000000,105.297554,105.297554,0.000000,105.297554,0.000000,6212.555664
,253,60,60000000.000000,49.516998,49.516998,0.000000,49.516998,0.000000,2971.020019
,254,58,58000000.000000,65.211410,65.211410,0.000000,65.211410,0.000000,3782.261718
,255,59,59000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4436.351562
,256,58,58000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4361.159179
,257,59,59000000.000000,15.690532,15.690532,0.000000,15.690532,0.000000,925.741455
,258,59,59000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,704.932006
,259,58,58000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,692.984008
,260,56,56000000.000000,25.412750,25.412750,0.000000,25.412750,0.000000,1423.114013
,261,59,59000000.000000,96.273849,96.273849,0.000000,96.273849,0.000000,5680.157226
,262,57,57000000.000000,191.141677,191.141677,0.000000,191.141677,0.000000,10895.075195
,263,58,58000000.000000,69.502845,69.502845,0.000000,69.502845,0.000000,4031.165039
,264,58,58000000.000000,49.516998,49.516998,0.000000,49.516998,0.000000,2871.985839
,265,59,59000000.000000,77.560997,77.560997,0.000000,77.560997,0.000000,4576.098632
,266,59,59000000.000000,75.192398,75.192398,0.000000,75.192398,0.000000,4436.351562
,267,59,59000000.000000,65.013633,65.013633,0.000000,65.013633,0.000000,3835.804443
,268,59,59000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,704.932006
,269,59,59000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,704.932006
,270,60,60000000.000000,11.947999,11.947999,0.000000,11.947999,0.000000,716.880004
,271,59,59000000.000000,20.900899,20.900899,0.000000,20.900899,0.000000,1233.153076
